School_code,School_name,development_region,Eco_Belt,Zone,District,VDC,Address,Ward_No,Locality,ECD,PRIMARY,LSEC,SEC,HSEC
10010003,Ambegudin Ma V,Eastern,Mountain,Mechi,Taplejung,Ambegudin,Rajha,9,Rural,,Community_aided,Community_aided,Community_Teacher_aided,Community_Unaided
10020004,Singheshwari Ma Vi,Eastern,Mountain,Mechi,Taplejung,Ankhop,Ankhop,5,Urban,Community_aided,Community_aided,Community_aided,Community_Unaided,
10030001,Chaksibote Uchcha Ma Vi,Eastern,Mountain,Mechi,Taplejung,Chaksibote,Chaksibte,4,Urban,Community_aided,Community_aided,Community_aided,Community_Teacher_aided,Community_Unaided
10040006,Change Uchcha Ma Vi,Eastern,Mountain,Mechi,Taplejung,Change,Change,3,Urban,Community_aided,Community_aided,Community_aided,Community_Teacher_aided,Community_Unaided
10040007,Chhatedhunga Ma Vi,Eastern,Mountain,Mechi,Taplejung,Change,Chhatedhunga,7,Urban,Community_aided,Community_aided,Community_aided,Community_Unaided,
10050006,Maiwakhola Uchha Ma V,Eastern,Mountain,Mechi,Taplejung,Dhungesaghu,Tembe,7,Urban,Community_aided,Community_aided,Community_aided,Community_aided,Community_Teacher_aided
10060001,Siddhakali Uchha Uchha Ma V,Eastern,Mountain,Mechi,Taplejung,Dokhu,Bojhe,5,Urban,Community_Managed,Community_Managed,Community_Managed,Community_Teacher_aided,Community_Unaided
10060003,Yubabarsha Ma Vi,Eastern,Mountain,Mechi,Taplejung,Dokhu,Kaijale,9,Urban,,Community_Managed,Community_Teacher_aided,Community_Unaided,
10070003,Siddheswari Ma Vi,Eastern,Mountain,Mechi,Taplejung,Dummrise,Khwang,6,Urban,Community_aided,Community_aided,Community_aided,Community_Unaided,
10090005,Janata Uchcha Ma Vi,Eastern,Mountain,Mechi,Taplejung,Hangdeva,Aashangpati,6,Urban,Community_Managed,Community_Managed,Community_Managed,Community_Managed,Community_Unaided
10100006,Saraswati Uchha Ma V,Eastern,Mountain,Mechi,Taplejung,Hangpang,Hangpang,7,Urban,Community_aided,Community_aided,Community_aided,Community_aided,Community_Teacher_aided
10130001,Adarsha Ma Vi,Eastern,Mountain,Mechi,Taplejung,Khejenim,Mamankhe,3,Urban,Community_Managed,Community_Managed,Community_aided,Community_Teacher_aided,
10140001,Ganesh Uchha Ma V,Eastern,Mountain,Mechi,Taplejung,Khewang,Sangadin,4,Urban,,Community_Managed,Community_Managed,Community_Managed,Community_Teacher_aided
10150009,Moti Uchha Ma V,Eastern,Mountain,Mechi,Taplejung,Khokling,Dadagau,3,Urban,Community_aided,Community_aided,Community_aided,Community_aided,Community_Teacher_aided
10160009,Saraswati Chyaribook Higher Secondary School,Eastern,Mountain,Mechi,Taplejung,Lelep,Lelep,3,Urban,,Community_aided,Community_aided,Community_aided,Community_Unaided
10170005,Bhanjyang Uchha Ma V,Eastern,Mountain,Mechi,Taplejung,Limbudin,Limbudin,4,Urban,,Community_aided,Community_aided,Community_aided,Community_Teacher_aided
10180004,Laxmi Ma Vi,Eastern,Mountain,Mechi,Taplejung,Lingtep,Sabenbung,2,Urban,,Community_aided,Community_aided,Community_Teacher_aided,
10190007,Sinwa Ma V,Eastern,Mountain,Mechi,Taplejung,Linkhim,Sinwa,9,Urban,Community_aided,Community_aided,Community_aided,Community_aided,Community_Teacher_aided
10200001,Pancheswari Ma Vi,Eastern,Mountain,Mechi,Taplejung,Liwang,Liwang,3,Urban,,Community_Managed,Community_Managed,Community_Unaided,
10220006,Nilgiri Higher Secondary School,Eastern,Mountain,Mechi,Taplejung,Mehele,Chyandada,7,Urban,,Community_aided,Community_aided,Community_aided,Community_Teacher_aided
10230005,Pandolung Ma V,Eastern,Mountain,Mechi,Taplejung,Nalbu,Nalbu,3,Urban,Community_aided,Community_aided,Community_aided,Community_Teacher_aided,
10240006,Kalika Higher Secondary School,Eastern,Mountain,Mechi,Taplejung,Nankholyang,Nankholyang,7,Urban,Community_aided,Community_aided,Community_aided,Community_aided,Community_Teacher_aided
10250005,Param Singha Devi Ma V,Eastern,Mountain,Mechi,Taplejung,Nighuradin,Tahari,9,Urban,Community_aided,Community_aided,Community_aided,Community_Teacher_aided,
10270001,Balden Ma Vi,Eastern,Mountain,Mechi,Taplejung,Papung,Tankhu,6,Urban,,Community_aided,Community_Teacher_aided,Community_Unaided,
10280002,Rastriya Ma Vi,Eastern,Mountain,Mechi,Taplejung,Pedang,Pedang,2,Urban,,Community_aided,Community_aided,Community_Teacher_aided,
10290007,Mahendra Higheer Secondary School,Eastern,Mountain,Mechi,Taplejung,Phakumba,Sanglupa,8,Urban,Community_aided,Community_aided,Community_aided,Community_aided,Community_Unaided
10300003,Simbu Ma V,Eastern,Mountain,Mechi,Taplejung,Phawakhola,Tembewa,4,Urban,Community_aided,Community_aided,Community_aided,Community_Teacher_aided,
20020001,Jaya Narayan Ma V,Eastern,Hill,Mechi,Panchthar,Aangsarang,Mehelbote,1,Rural,Community_Managed,Community_Managed,Community_Managed,Community_Managed,Community_Unaided
20020009,Panthar Bidhya Mandir Ebs,Eastern,Hill,Mechi,Panchthar,Aangsarang,Dobate,7,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,
20020010,Glidge Ebs,Eastern,Hill,Mechi,Panchthar,Aangsarang,Basangu,4,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,
20030001,Arubote Uchha Uchha Ma V,Eastern,Hill,Mechi,Panchthar,Aarubote,Barbhanjyang,2,Urban,,Community_aided,Community_aided,Community_aided,Community_Unaided
20030009,Arubote Educational Ebs,Eastern,Hill,Mechi,Panchthar,Aarubote,Solma,5,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,
20040001,Amarpur Uchha Uchha Ma V,Eastern,Hill,Mechi,Panchthar,Amarpur,Amarpur,4,Urban,,Community_aided,Community_aided,Community_aided,Community_aided
20040002,Singhapur Pashupati Ma V,Eastern,Hill,Mechi,Panchthar,Amarpur,Singhapur,7,Urban,,Community_aided,Community_aided,Community_Teacher_aided,
20050001,Siddheshwori Ma V,Eastern,Hill,Mechi,Panchthar,Bharapa,Tuwa,6,Rural,,Community_Managed,Community_Managed,Community_Managed,Community_Unaided
20050013,Jrpokhari Ebs,Eastern,Hill,Mechi,Panchthar,Bharapa,Barapa,4,Rural,,Community_Unaided,,,
20070001,Saraswati Ma V,Eastern,Hill,Mechi,Panchthar,Chokmagu,Dumribote,6,Rural,,Community_aided,Community_aided,Community_aided,Community_Unaided
20080001,Bishnu Uchha Uchha Ma Vchool,Eastern,Hill,Mechi,Panchthar,Chyangthapu,Phungladin,9,Urban,Community_aided,Community_aided,Community_aided,Community_aided,Community_Managed
20090001,Bhagawati Ma V,Eastern,Hill,Mechi,Panchthar,Durdimba,Durdimba,4,Rural,Community_aided,Community_aided,Community_aided,Community_Teacher_aided,
20100001,Siddha Kali Uchha Uchha Ma V,Eastern,Hill,Mechi,Panchthar,Ekteen,Jorpati,1,Rural,,Community_Managed,Community_Managed,Community_Managed,Community_Unaided
20100002,Saraswati Ma V,Eastern,Hill,Mechi,Panchthar,Ekteen,Tindhare,5,Rural,Community_aided,Community_aided,Community_aided,Community_Teacher_aided,Community_Teacher_aided
20100011,Youth Initiative Ebs,Eastern,Hill,Mechi,Panchthar,Ekteen,Ekteen,2,Urban,Institutional_Private_Trust,Institutional_Private_Trust,,,
20110001,Satyahangnma Ma V,Eastern,Hill,Mechi,Panchthar,Embung,Ahaldanda,2,Rural,Community_aided,Community_aided,Community_Teacher_aided,Community_Teacher_aided,Community_Teacher_aided
20120001,Narayani Ma V,Eastern,Hill,Mechi,Panchthar,Falaicha,Gangawa,8,Urban,,Community_aided,Community_aided,Community_Teacher_aided,
20120002,Buddha Ma V,Eastern,Hill,Mechi,Panchthar,Falaicha,Namrek,3,Urban,Community_aided,Community_aided,Community_Teacher_aided,Community_Teacher_aided,
20130001,Indrawati Ma V,Eastern,Hill,Mechi,Panchthar,Hangum,Tilkeni,5,Urban,Community_aided,Community_aided,Community_aided,Community_Managed,Community_Managed
20140001,Kurumba Ma V,Eastern,Hill,Mechi,Panchthar,Kurumba,Kurumba,2,Rural,Community_aided,Community_aided,Community_aided,Community_aided,
20140002,Singha Devi Ma V,Eastern,Hill,Mechi,Panchthar,Kurumba,Siktemba,1,Rural,,Community_aided,Community_aided,Community_aided,Community_aided
20140009,Jana Jyoti Ebs,Eastern,Hill,Mechi,Panchthar,Kurumba,Kurumba,4,Rural,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,
20150001,Sarbajanik Ma V,Eastern,Hill,Mechi,Panchthar,Limba,Limba,7,Rural,Community_aided,Community_aided,Community_aided,Community_Unaided,
20150002,Chandreshwor Ma V,Eastern,Hill,Mechi,Panchthar,Limba,Khandrong,2,Rural,Community_Teacher_aided,Community_aided,Community_Managed,Community_Teacher_aided,
20150011,Bal Jyoti Ebs,Eastern,Hill,Mechi,Panchthar,Limba,Limba,3,Rural,Institutional_Private_Trust,,,,
20160001,Mahadev Gupteshwor Ma V,Eastern,Hill,Mechi,Panchthar,Lungrupa,Phulpa,5,Rural,,Community_aided,Community_aided,Community_aided,Community_Unaided
20180001,Siddha Saraswati Ma V,Eastern,Hill,Mechi,Panchthar,Mangjabung,Barbhangyang,1,Rural,Community_aided,Community_Managed,Community_Managed,Community_Teacher_aided,Community_Teacher_aided
20190001,Indrani Ma V,Eastern,Hill,Mechi,Panchthar,Mauwa,Thapagaun,1,Rural,,Community_aided,Community_aided,Community_aided,Community_Unaided
20200001,Saraswti Uchha Uchha Ma V,Eastern,Hill,Mechi,Panchthar,Memeng,Machhebung,2,Urban,,Community_aided,Community_aided,Community_aided,Community_Unaided
20200003,Memeng Ma V,Eastern,Hill,Mechi,Panchthar,Memeng,Memeng,9,Urban,,Community_aided,Community_Teacher_aided,Community_Unaided,
30020004,Bidya Sirjanatmak Ma V,Eastern,Hill,Mechi,Ilam,Bajho,Marchebung,2,Urban,,Community_Managed,Community_Managed,Community_Unaided,
30030001,Amar Uchha Uchha Ma V,Eastern,Hill,Mechi,Ilam,Barbote,Barbote,3,Urban,,Community_Managed,Community_aided,Community_aided,Community_Unaided
30030007,Barbote Ebs,Eastern,Hill,Mechi,Ilam,Barbote,Barbote,3,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,
30030010,Rhodedendron Ilam Ebs,Eastern,Hill,Mechi,Ilam,Barbote,Gaun,7,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,
30040001,Phalate Ma V,Eastern,Hill,Mechi,Ilam,Chameta,Simsara,9,Urban,Community_Managed,Community_Managed,Community_Teacher_aided,Community_Unaided,
30040002,Dambar Devi Uchha Ma V,Eastern,Hill,Mechi,Ilam,Chameta,Chamaita,6,Urban,Community_Managed,Community_Managed,Community_Managed,Community_Unaided,Community_Unaided
30040012,Mahabharat Bal Ebs,Eastern,Hill,Mechi,Ilam,Chameta,Maidane,2,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,
30050006,Janata Ma V,Eastern,Hill,Mechi,Ilam,Chisapani,Chisapani,2,Urban,,Community_aided,Community_aided,Community_aided,Community_Unaided
30060003,Kiranteshwor Ma V,Eastern,Hill,Mechi,Ilam,Chulachuli,Peltimari,6,Urban,,Community_Managed,Community_Managed,Community_Teacher_aided,
30060004,Baljyoti Ma V,Eastern,Hill,Mechi,Ilam,Chulachuli,Aaitabare,7,Urban,,Community_Managed,Community_Teacher_aided,Community_Unaided,
30060006,Banjho Gau Ma V,Eastern,Hill,Mechi,Ilam,Chulachuli,Shikharkateri,9,Urban,,Community_Managed,Community_Managed,Community_Unaided,
30060007,Bhanu Ma V,Eastern,Hill,Mechi,Ilam,Chulachuli,Bukuwa,8,Urban,,Community_Managed,Community_Teacher_aided,Community_Teacher_aided,
30060009,Janta Uchha Uchha Ma V,Eastern,Hill,Mechi,Ilam,Chulachuli,Bargothe,3,Urban,,Community_Managed,Community_Managed,Community_Managed,Community_Unaided
30060012,New Sun Flower Ebs,Eastern,Hill,Mechi,Ilam,Chulachuli,Bharagore,3,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,
30060014,Janta Ma V,Eastern,Hill,Mechi,Ilam,Chulachuli,Kamal,1,Urban,,Community_Managed,Community_Managed,Community_Managed,
30070002,Yuwabarsa Ma V,Eastern,Hill,Mechi,Ilam,Danabari,Sandhuwa,9,Urban,,Community_aided,Community_Teacher_aided,Community_Teacher_aided,
30070010,Saraswati Ma V,Eastern,Hill,Mechi,Ilam,Danabari,Musekhola,6,Urban,,Community_Managed,Community_Managed,Community_Teacher_aided,
30070014,Kankai Uchha Uchha Ma V,Eastern,Hill,Mechi,Ilam,Danabari,Sitali,1,Urban,,Community_aided,Community_aided,Community_aided,Community_Unaided
30070025,Ilam Newlight English Ebs,Eastern,Hill,Mechi,Ilam,Danabari,Danabari,1,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,
30070026,Futurestep Step Academy Ebs,Eastern,Hill,Mechi,Ilam,Danabari,Danabari,4,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,
30080003,Bhagawati Ma V,Eastern,Hill,Mechi,Ilam,Dhuseni,Barbhanjyang,6,Urban,,Community_Managed,Community_Managed,Community_Managed,Community_Teacher_aided
30090001,Emang Ma V,Eastern,Hill,Mechi,Ilam,Ebhang,Tole,3,Urban,,Community_Managed,Community_Managed,Community_Unaided,
30100001,Singha Devi Uchha Uchha Ma V,Eastern,Hill,Mechi,Ilam,Ektappa,Shikaribhanjyang,5,Urban,,Community_Managed,Community_Managed,Community_Managed,Community_Unaided
30100007,Jana Kalyan Ma V,Eastern,Hill,Mechi,Ilam,Ektappa,Dokandanda,9,Urban,,Community_Managed,Community_Teacher_aided,Community_Unaided,
30100009,Bagmati Ebs,Eastern,Hill,Mechi,Ilam,Ektappa,Bhangyang,5,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,
30110005,Bahuban Ma V,Eastern,Hill,Mechi,Ilam,Erautar,Bhayban,8,Urban,Community_Managed,Community_Managed,Community_Teacher_aided,Community_Unaided,
30120008,Mahendrodaya Uchha Uchha Ma V,Eastern,Hill,Mechi,Ilam,Gajurmukhi,Dhungedanda,7,Urban,,Community_aided,Community_aided,Community_aided,Community_Unaided
30130001,Purnasmarak Uchha Uchha Ma Vchool,Eastern,Hill,Mechi,Ilam,Godak,Tersegaou,6,Urban,,Community_Managed,Community_Managed,Community_Managed,Community_Managed
30130005,Nanda Ma V,Eastern,Hill,Mechi,Ilam,Godak,Ghhata,2,Urban,Community_Managed,Community_Managed,Community_Managed,Community_Unaided,
30140001,Singha Devi Ma V,Eastern,Hill,Mechi,Ilam,Gorkhe,Manglebvare,6,Urban,,Community_Managed,Community_Teacher_aided,Community_Teacher_aided,
30140003,Himalaya Uchha Uchha Ma V,Eastern,Hill,Mechi,Ilam,Gorkhe,Manedanda,4,Urban,,Community_Managed,Community_Managed,Community_Managed,Community_Unaided
30150001,Adarsha Uchha Ma V,Eastern,Hill,Mechi,Ilam,N.p.,Suntalabari,2,Urban,,,Community_aided,Community_aided,Community_Unaided
30150004,Bhagawati Ma V,Eastern,Hill,Mechi,Ilam,N.p.,Golakharka,4,Urban,,Community_aided,Community_aided,Community_aided,Community_Unaided
30160001,Bhagawati Ma V,Eastern,Hill,Mechi,Ilam,Jamuna,Jamuna,4,Urban,Community_Managed,Community_Managed,Community_Managed,Community_Managed,
40010018,Mahendra Ratna Ma V,Eastern,Terai,Mechi,Jhapa,Anarmani,Birtabazar,9,Rural,Community_aided,Community_aided,Community_aided,Community_aided,Community_aided
40020001,Rising Sun Ebs,Eastern,Terai,Mechi,Jhapa,Arjundhara,Parakhopi,2,Rural,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,
40020004,Arjundhara Sanskrit Adarsha Ma V,Eastern,Terai,Mechi,Jhapa,Arjundhara,Dhara,4,Urban,,Community_Unaided,Community_aided,Community_aided,
40020005,Bhanu Ma V,Eastern,Terai,Mechi,Jhapa,Arjundhara,Phulbari,6,Rural,Community_aided,Community_aided,Community_aided,Community_aided,Community_Unaided
40020008,Surya Jyoti Ebs,Eastern,Terai,Mechi,Jhapa,Arjundhara,Mildanda,5,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,
40020014,Holy Basil Ebs,Eastern,Terai,Mechi,Jhapa,Arjundhara,Laxmipur,6,Rural,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,
40030010,Pashupati Ma V,Eastern,Terai,Mechi,Jhapa,Bahundangi,Ammdagi,1,Urban,Community_Managed,Community_Managed,Community_Managed,Community_Managed,
40030011,Janata Ma V,Eastern,Terai,Mechi,Jhapa,Bahundangi,Telpani,5,Rural,Community_aided,Community_aided,Community_aided,Community_aided,
40030012,Sunshine Ebs,Eastern,Terai,Mechi,Jhapa,Bahundangi,Bazar,4,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,
40030015,Mechi Jana Sadharan Ma V,Eastern,Terai,Mechi,Jhapa,Bahundangi,Bahadurgunj,6,Rural,Community_aided,Community_aided,Community_aided,Community_aided,Community_aided
40030016,Bhanu Uchha Ma V,Eastern,Terai,Mechi,Jhapa,Bahundangi,Bhrikuti,4,Urban,Community_aided,Community_aided,Community_aided,Community_aided,Community_Unaided
40030019,Oceanic Nirwan Ebs,Eastern,Terai,Mechi,Jhapa,Bahundangi,Bahadurgung,6,Rural,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,
40030041,Dokandanda Ebs,Eastern,Terai,Mechi,Jhapa,Bahundangi,Dokandanda,3,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,
40030042,Thesis International Ebs,Eastern,Terai,Mechi,Jhapa,Bahundangi,Badakhal,3,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,
40030043,Oxford Model Ebs,Eastern,Terai,Mechi,Jhapa,Bahundangi,Telpani,5,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,
40040006,Amar Ma V,Eastern,Terai,Mechi,Jhapa,Baigundhura,Baigunddura,6,Rural,Community_aided,Community_Managed,Community_Managed,Community_Managed,Community_Managed
