School_code,School_name,development_region,Eco_Belt,Zone,District,VDC,Address,Ward_No,Locality,ECD,PRIMARY,LSEC,SEC,HSEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19027,Janbal Kalyana Ma V Dharahara,Central,Terai,Janakpur,Sarlahi,Dhungrekhola,Dhunggre,7,Urban,Community_aided,Community_aided,Community_aided,Community_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050006,Maiwakhola Uchha Ma V,Eastern,Mountain,Mechi,Taplejung,Dhungesaghu,Tembe,7,Urban,Community_aided,Community_aided,Community_aided,Community_aided,Community_Teacher_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10060001,Siddhakali Uchha Uchha Ma V,Eastern,Mountain,Mechi,Taplejung,Dokhu,Bojhe,5,Urban,Community_Managed,Community_Managed,Community_Managed,Community_Teacher_aided,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10060003,Yubabarsha Ma Vi,Eastern,Mountain,Mechi,Taplejung,Dokhu,Kaijale,9,Urban,,Community_Managed,Community_Teacher_aided,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10070003,Siddheswari Ma Vi,Eastern,Mountain,Mechi,Taplejung,Dummrise,Khwang,6,Urban,Community_aided,Community_aided,Community_aided,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10090005,Janata Uchcha Ma Vi,Eastern,Mountain,Mechi,Taplejung,Hangdeva,Aashangpati,6,Urban,Community_Managed,Community_Managed,Community_Managed,Community_Managed,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130001,Adarsha Ma Vi,Eastern,Mountain,Mechi,Taplejung,Khejenim,Mamankhe,3,Urban,Community_Managed,Community_Managed,Community_aided,Community_Teacher_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10140001,Ganesh Uchha Ma V,Eastern,Mountain,Mechi,Taplejung,Khewang,Sangadin,4,Urban,,Community_Managed,Community_Managed,Community_Managed,Community_Teacher_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150009,Moti Uchha Ma V,Eastern,Mountain,Mechi,Taplejung,Khokling,Dadagau,3,Urban,Community_aided,Community_aided,Community_aided,Community_aided,Community_Teacher_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10180004,Laxmi Ma Vi,Eastern,Mountain,Mechi,Taplejung,Lingtep,Sabenbung,2,Urban,,Community_aided,Community_aided,Community_Teacher_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10200001,Pancheswari Ma Vi,Eastern,Mountain,Mechi,Taplejung,Liwang,Liwang,3,Urban,,Community_Managed,Community_Managed,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220006,Nilgiri Higher Secondary School,Eastern,Mountain,Mechi,Taplejung,Mehele,Chyandada,7,Urban,,Community_aided,Community_aided,Community_aided,Community_Teacher_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10230005,Pandolung Ma V,Eastern,Mountain,Mechi,Taplejung,Nalbu,Nalbu,3,Urban,Community_aided,Community_aided,Community_aided,Community_Teacher_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10240006,Kalika Higher Secondary School,Eastern,Mountain,Mechi,Taplejung,Nankholyang,Nankholyang,7,Urban,Community_aided,Community_aided,Community_aided,Community_aided,Community_Teacher_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10270001,Balden Ma Vi,Eastern,Mountain,Mechi,Taplejung,Papung,Tankhu,6,Urban,,Community_aided,Community_Teacher_aided,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10290007,Mahendra Higheer Secondary School,Eastern,Mountain,Mechi,Taplejung,Phakumba,Sanglupa,8,Urban,Community_aided,Community_aided,Community_aided,Community_aided,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020009,Panthar Bidhya Mandir Ebs,Eastern,Hill,Mechi,Panchthar,Aangsarang,Dobate,7,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020010,Glidge Ebs,Eastern,Hill,Mechi,Panchthar,Aangsarang,Basangu,4,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20030001,Arubote Uchha Uchha Ma V,Eastern,Hill,Mechi,Panchthar,Aarubote,Barbhanjyang,2,Urban,,Community_aided,Community_aided,Community_aided,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20030009,Arubote Educational Ebs,Eastern,Hill,Mechi,Panchthar,Aarubote,Solma,5,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
