SLCYear,DistrictName,DistrictCode,SCHCODE,School_name,AppearedTotal,AppearedBoys,AppearedGirls,PassTotal,PassBoys,PassGirls,%,DivisionBoys,DivisionGirls,FirstDivBoys,FirstDivGirls,SecondDivBoys,SecondDivGirls,ThirdDivBoys,ThirdDivGirls,WithheldBoys,WithheldGirls,CanceledBoys,CanceledGirls,ExpelledBoys,ExpelledGirls
69,Taplejung,1,1002,"Bhanu Jana Higher Secondary School, Ambitar",82,32,50,9,7,2,10.98,0,0,4,1,2,1,1,0,1,0,0,0,0,0
69,Taplejung,1,1003,Moti Ma Vi Khokling,80,37,43,54,25,29,67.5,0,0,2,9,19,17,4,3,0,0,0,0,0,0
69,Taplejung,1,1004,Sinam Ma Vi Sinam,59,26,33,6,2,4,10.17,0,0,0,0,2,2,0,2,0,0,0,0,0,0
69,Taplejung,1,1005,Ganesh Ma Vi Khewang,63,31,32,7,6,1,11.11,0,0,0,0,4,1,2,0,0,0,0,0,0,0
69,Taplejung,1,1006,Thechambu Ma Vi Thechambu,84,42,42,6,2,4,7.14,0,0,0,0,1,2,1,2,0,0,0,0,0,0
69,Taplejung,1,1007,"Maiwakhola Higher Secondary School, Dhunge Sanghu",33,15,18,2,1,1,6.06,0,0,1,0,0,1,0,0,0,0,0,0,0,0
69,Taplejung,1,1008,Prithvi Ma Vi Khamlung,26,11,15,1,0,1,3.85,0,0,0,0,0,1,0,0,0,0,0,0,0,0
69,Taplejung,1,1009,Bhanjyang Ma Vi Limbudin,83,33,50,6,2,4,7.23,0,0,0,1,1,3,1,0,0,0,0,0,0,0
69,Taplejung,1,1010,Narayani Ma Vi Sanghu,64,31,33,5,1,4,7.81,0,0,0,0,1,2,0,2,2,0,0,0,0,0
69,Taplejung,1,1011,Durga Ma Vi Phulbari,72,31,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Taplejung,1,1012,Saraswati Ma Vi Hangpang,41,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Taplejung,1,1013,Janata Ma Vi Hangdewa,54,29,25,3,1,2,5.56,0,0,1,1,0,1,0,0,0,0,0,0,0,0
69,Taplejung,1,1014,Saraswati Ma Vi Lelep,55,27,28,8,5,3,14.55,0,0,0,0,5,3,0,0,0,0,0,0,0,0
69,Taplejung,1,1015,Saraswati Ma Vi Sikaicha,29,15,14,1,1,0,3.45,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69,Taplejung,1,1016,Sanwa Ma Vi Sanwa Mewakhola,50,26,24,4,2,2,8,0,0,0,0,2,2,0,0,0,0,0,0,0,0
69,Taplejung,1,1017,Tellok Ma Vi Tellok,34,11,23,4,3,1,11.76,0,0,1,0,2,1,0,0,0,0,0,0,0,0
69,Taplejung,1,1018,Nilgiri Ma Vi Mehele,51,22,29,4,3,1,7.84,0,0,1,0,1,1,1,0,0,0,0,0,0,0
69,Taplejung,1,1019,Kalika Ma Vi Nangkholyang,57,27,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Taplejung,1,1020,Nava Jyoti Awasiya Ma Vi Phungling,27,15,12,1,0,1,3.7,0,0,0,1,0,0,0,0,9,7,0,0,0,0
69,Taplejung,1,1021,"Sinwa Higher Secondary School, Lingsim, Sinwa",65,36,29,24,12,12,36.92,0,0,3,0,8,12,1,0,0,0,0,0,0,0
69,Taplejung,1,1022,Mahendra Ma Vi Phakumva Maiwakhola,40,16,24,1,1,0,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,Taplejung,1,1023,Chaksibote Ma Vi Chaksibote,20,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Taplejung,1,1024,Change Ma Vi Change,34,14,20,2,0,2,5.88,0,0,0,0,0,2,0,0,0,0,0,0,0,0
69,Taplejung,1,1025,Kalika Ma Vi Tiringe,31,13,18,1,0,1,3.23,0,0,0,0,0,1,0,0,0,0,0,0,0,0
69,Taplejung,1,1026,Sharada Ma Vi Thumbedin,36,17,19,4,4,0,11.11,0,0,0,0,3,0,1,0,0,0,0,0,0,0
69,Taplejung,1,1027,Ambegudin Ma Vi Raja,49,25,24,9,5,4,18.37,0,0,2,0,2,3,1,1,0,0,0,0,0,0
69,Taplejung,1,1028,Tribhuvan Ma Vi Mewakhola Thukima,42,23,19,5,3,2,11.9,0,0,0,0,3,0,0,2,0,0,0,0,0,0
69,Taplejung,1,1029,Birendra Higher Secondary Phungling-1  Dewaling,28,12,16,9,4,5,32.14,0,0,1,0,3,5,0,0,0,0,0,0,0,0
